Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity
2020-05-15,0,5.8,72.0,7.4,81
2020-05-16,0,4.2,57.0,7.8,80
2020-05-17,0,7.1,58.0,9.5,77
2020-05-18,15.5,8.9,88.0,1.4,88
2020-05-19,0.5,4.8,72.0,7.5,82
2020-05-20,6,6.6,87.0,1.6,87
2020-05-21,50,7.4,90.0,0.0,92
2020-05-22,17,9.2,89.0,0.1,88
2020-05-23,0.5,7.2,88.0,0.0,88
2020-05-24,0.5,5.5,80.0,2.8,82
2020-05-25,22,3.5,85.0,1.2,91
2020-05-26,4.5,5.1,86.0,2.0,87
2020-05-27,1.5,4.8,86.0,3.7,83
2020-05-28,0.5,4.5,86.0,2.4,86
2020-05-29,1,4.8,85.0,3.6,85
2020-05-30,135.5,3.3,92.0,0.0,94
2020-05-31,6.5,11.3,86.0,1.3,83
2020-06-01,1,12.4,85.0,5.5,78
2020-06-02,17.5,7.5,87.0,2.0,82
2020-06-03,1,12.2,82.0,5.4,76
2020-06-04,0,14.8,83.0,8.1,75
2020-06-05,2.5,13.1,88.0,6.2,78
2020-06-06,282,6.8,94.0,0.3,89
2020-06-07,150.5,4.5,92.0,0.0,91
2020-06-08,73,5.9,92.0,0.0,88
2020-06-09,13,7.3,87.0,2.0,83
2020-06-10,0,8.2,81.0,7.5,78
2020-06-11,0,7.4,55.0,10.1,76
2020-06-12,0.5,4.3,32.0,10.2,75
2020-06-13,7.5,7.8,84.0,5.3,81
2020-06-14,25.5,10.3,82.0,1.7,84
2020-06-15,0.5,8.3,64.0,7.5,79
2020-06-16,3.5,7.6,70.0,3.3,81
2020-06-17,1,7.0,54.0,6.2,77
2020-06-18,0,10.0,56.0,8.8,77
2020-06-19,0,9.5,52.0,11.6,74
2020-06-20,0,12.7,54.0,10.8,74
2020-06-21,0.5,13.9,77.0,10.0,76
2020-06-22,0.5,14.7,79.0,8.3,77
2020-06-23,0,15.1,72.0,10.1,77
2020-06-24,0,14.8,86.0,7.0,77
2020-06-25,0,15.2,87.0,4.9,76
2020-06-26,0,14.5,86.0,4.6,77
2020-06-27,1,8.9,83.0,6.0,77
2020-06-28,2.5,8.6,81.0,10.2,75
2020-06-29,0,5.9,78.0,9.5,74
2020-06-30,0,6.6,72.0,9.4,74
2020-07-01,12.5,4.7,83.0,3.8,78
2020-07-02,19,6.7,83.0,4.4,79
2020-07-03,18,5.7,82.0,3.7,84
2020-07-04,4,5.9,84.0,6.9,80
2020-07-05,0,10.0,77.0,9.4,77
2020-07-06,0,13.9,77.0,8.9,76
2020-07-07,0,12.6,78.0,9.6,77
2020-07-08,1,16.6,88.0,5.7,79
2020-07-09,0,20.3,88.0,3.9,79
2020-07-10,0,14.9,88.0,2.6,75
2020-07-11,0,12.7,83.0,6.0,76
2020-07-12,0,9.3,59.0,9.2,75
2020-07-13,0,8.7,38.0,11.5,74
2020-07-14,0,11.1,57.0,12.0,75
2020-07-15,0,14.9,80.0,10.5,74
2020-07-16,0,14.0,73.0,10.1,76
2020-07-17,7,11.6,76.0,10.5,75
2020-07-18,0,13.0,84.0,11.3,75
2020-07-19,1.5,12.7,84.0,10.0,75
2020-07-20,1.5,6.9,82.0,5.8,77
2020-07-21,0,4.3,61.0,9.6,76
2020-07-22,0.5,5.1,50.0,6.7,79
2020-07-23,0.5,7.5,32.0,9.8,73
2020-07-24,0,8.9,47.0,11.1,74
2020-07-25,0,12.5,83.0,9.5,75
2020-07-26,0,13.7,78.0,10.5,74
2020-07-27,1,13.6,76.0,9.8,75
2020-07-28,3,9.8,55.0,11.1,73
2020-07-29,0,5.8,69.0,6.1,77
2020-07-30,2,8.1,76.0,9.5,75
2020-07-31,57,12.2,86.0,0.2,84
2020-08-01,43,11.5,90.0,2.5,87
2020-08-02,27,7.4,88.0,0.6,89
2020-08-03,45.5,2.7,88.0,0.4,93
2020-08-04,2,3.3,86.0,3.2,87
2020-08-05,104.5,6.6,89.0,2.4,88
2020-08-06,1.5,5.0,83.0,8.6,85
2020-08-07,0,5.5,82.0,8.5,80
2020-08-08,0,6.8,44.0,10.7,76
2020-08-09,0,4.8,46.0,10.0,76
2020-08-10,0,4.6,73.0,9.3,76
2020-08-11,1.5,8.6,83.0,3.5,78
2020-08-12,22,5.3,88.0,0.9,88
2020-08-13,12.5,4.7,83.0,5.0,86
2020-08-14,1.5,4.0,59.0,8.7,80
2020-08-15,0,4.9,61.0,9.1,76
2020-08-16,3,4.4,79.0,9.5,76
