Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity,Minimum Temperature (°C),Mean Temperature (°C),Maximum Temperature (°C)
2020-03-31,2.5,6.3,98.0,0.0,95,18.8,20.5,21.8
2020-04-01,0,6.5,96.0,0.0,91,17.9,18.8,19.8
2020-04-02,0,10.3,94.0,0.0,86,19.1,20,21.1
2020-04-03,1.5,7.9,88.0,0.0,88,19.2,20.4,21.7
2020-04-04,2.5,5.7,89.0,1.2,89,19.1,20.6,23.6
2020-04-05,4.5,6.8,94.0,0.0,88,16.6,17.6,19.5
2020-04-06,28.5,4.5,97.0,0.0,92,16.2,17,18
2020-04-07,0,4.5,88.0,0.7,86,17.1,19.3,22.1
2020-04-08,0,5.6,83.0,4.3,71,18.9,20.6,23.8
2020-04-09,0,4.1,31.0,9.8,69,17.5,21.3,26.4
2020-04-10,0,7.5,39.0,10.5,73,18,21.2,23.9
2020-04-11,4,5.4,89.0,0.3,88,20.9,22.2,24.5
2020-04-12,0,13.3,45.0,9.5,59,18.3,20.9,24.4
2020-04-13,0,9.5,49.0,10.6,44,16.4,19.7,24.5
2020-04-14,0,3.3,80.0,3.5,65,16.7,20,23.7
2020-04-15,0,5.0,46.0,11.0,66,14.9,20.9,26.8
2020-04-16,0,4.4,41.0,11.1,77,16.1,21.9,28.2
2020-04-17,0,4.9,59.0,10.6,79,20.4,23.5,28
2020-04-18,0,3.4,73.0,5.2,81,20,24,28.5
2020-04-19,0,7.6,47.0,9.7,80,23.1,26,29.9
2020-04-20,0,9.2,53.0,8.7,81,24.2,26.7,30.7
2020-04-21,0,4.6,69.0,5.5,82,23.6,26.2,28.8
2020-04-22,15,7.0,93.0,0.0,94,18.8,21.8,25.4
2020-04-23,1,5.8,93.0,0.0,89,18.8,20.2,21.3
2020-04-24,1.5,5.4,94.0,0.1,84,17.1,18.7,21.5
2020-04-25,0,3.5,90.0,0.7,83,17.4,20,22.3
2020-04-26,0.5,4.0,79.0,7.2,75,19,22.8,27.4
2020-04-27,0,3.5,65.0,7.9,65,19.4,23.3,28.3
2020-04-28,0,7.5,56.0,11.3,64,18.6,23,27.5
2020-04-29,0,5.6,39.0,10.6,72,20.5,23.7,28.1
2020-04-30,0,5.0,52.0,10.3,74,18.8,24.2,29.5
2020-05-01,0,4.2,70.0,7.1,81,22.1,25.3,29.5
2020-05-02,0,7.1,52.0,10.4,77,22.9,26.3,30.7
2020-05-03,0,12.3,32.0,11.3,78,23.5,27.8,32.8
2020-05-04,0,13.6,57.0,9.8,79,25.5,28.3,33.2
2020-05-05,0,16.4,75.0,8.8,80,26.5,28.3,31.3
2020-05-06,0,11.1,83.0,4.8,81,26.3,28.9,32
2020-05-07,0,10.4,83.0,3.9,81,27.8,29.6,32.1
2020-05-08,0,11.1,86.0,3.5,81,28.6,29.7,32.3
2020-05-09,0,12.5,81.0,3.5,79,27.9,28.9,31.5
2020-05-10,1,9.4,60.0,8.5,78,24.1,28.8,34
2020-05-11,12,4.0,77.0,6.9,76,23.9,27.9,32.7
2020-05-12,3,3.6,78.0,3.1,82,23.6,27,30.8
2020-05-13,0,7.0,80.0,2.3,84,24.8,26,28.7
2020-05-14,0,7.3,86.0,3.8,83,24.7,26.6,28.6
2020-05-15,0,5.8,72.0,7.4,81,26,28.2,31.8
2020-05-16,0,4.2,57.0,7.8,80,24.5,28.1,32
2020-05-17,0,7.1,58.0,9.5,77,25,28.8,32.8
2020-05-18,15.5,8.9,88.0,1.4,88,24.8,26.3,29.9
2020-05-19,0.5,4.8,72.0,7.5,82,24.2,27.3,31.5
2020-05-20,6,6.6,87.0,1.6,87,25.5,27,28.9
2020-05-21,50,7.4,90.0,0.0,92,25.4,28,30.2
2020-05-22,17,9.2,89.0,0.1,88,26.7,28.2,30.3
2020-05-23,0.5,7.2,88.0,0.0,88,24.8,25.6,26.7
2020-05-24,0.5,5.5,80.0,2.8,82,24.6,26.7,29.3
2020-05-25,22,3.5,85.0,1.2,91,25.3,26.6,28.1
2020-05-26,4.5,5.1,86.0,2.0,87,26.3,28,31.5
2020-05-27,1.5,4.8,86.0,3.7,83,25.4,28,31.8
2020-05-28,0.5,4.5,86.0,2.4,86,25.4,27,28.2
2020-05-29,1,4.8,85.0,3.6,85,26.1,27.8,30.3
2020-05-30,135.5,3.3,92.0,0.0,94,24.1,25.7,28.1
2020-05-31,6.5,11.3,86.0,1.3,83,25.8,29,32.4
2020-06-01,1,12.4,85.0,5.5,78,28.4,30.2,33
2020-06-02,17.5,7.5,87.0,2.0,82,27,29,32
2020-06-03,1,12.2,82.0,5.4,76,27.2,29.7,32.2
2020-06-04,0,14.8,83.0,8.1,75,28.6,30.3,32.9
2020-06-05,2.5,13.1,88.0,6.2,78,26.8,29.7,32.2
2020-06-06,282,6.8,94.0,0.3,89,23.7,26.1,29.8
2020-06-07,150.5,4.5,92.0,0.0,91,24.1,25.9,28
2020-06-08,73,5.9,92.0,0.0,88,25.1,26.9,28.9
2020-06-09,13,7.3,87.0,2.0,83,26.9,29,31.8
2020-06-10,0,8.2,81.0,7.5,78,26.8,29.5,32.3
2020-06-11,0,7.4,55.0,10.1,76,27.2,30.1,33.7
2020-06-12,0.5,4.3,32.0,10.2,75,26.5,29.8,33.5
2020-06-13,7.5,7.8,84.0,5.3,81,27.4,29.3,32.5
2020-06-14,25.5,10.3,82.0,1.7,84,25.5,27.7,30.7
2020-06-15,0.5,8.3,64.0,7.5,79,25.6,29.2,32.2
2020-06-16,3.5,7.6,70.0,3.3,81,26.2,28.5,31.5
2020-06-17,1,7.0,54.0,6.2,77,25.7,28.6,32.1
2020-06-18,0,10.0,56.0,8.8,77,26,29.4,32.8
2020-06-19,0,9.5,52.0,11.6,74,26.9,30,33
2020-06-20,0,12.7,54.0,10.8,74,27.9,30.3,33.2
2020-06-21,0.5,13.9,77.0,10.0,76,28.6,30.3,33
2020-06-22,0.5,14.7,79.0,8.3,77,28.7,30.6,33.2
2020-06-23,0,15.1,72.0,10.1,77,29,30.6,33.2
2020-06-24,0,14.8,86.0,7.0,77,28.9,30.5,33.2
2020-06-25,0,15.2,87.0,4.9,76,29,30.7,33.1
2020-06-26,0,14.5,86.0,4.6,77,29.5,30.7,33.3
2020-06-27,1,8.9,83.0,6.0,77,28.5,30.5,33.6
2020-06-28,2.5,8.6,81.0,10.2,75,27.4,30.2,33.2
2020-06-29,0,5.9,78.0,9.5,74,27,30.1,33.4
2020-06-30,0,6.6,72.0,9.4,74,28.1,30.7,34.3
2020-07-01,12.5,4.7,83.0,3.8,78,27,29.5,32.8
2020-07-02,19,6.7,83.0,4.4,79,26.9,29.7,32.8
2020-07-03,18,5.7,82.0,3.7,84,26.9,28.8,32.6
2020-07-04,4,5.9,84.0,6.9,80,26.8,29.7,33.1
2020-07-05,0,10.0,77.0,9.4,77,27.7,30.2,33.1
2020-07-06,0,13.9,77.0,8.9,76,28.6,30.5,33.2
2020-07-07,0,12.6,78.0,9.6,77,27.5,30.2,33.1
2020-07-08,1,16.6,88.0,5.7,79,29.1,30.1,32
2020-07-09,0,20.3,88.0,3.9,79,29,30.2,32.3
2020-07-10,0,14.9,88.0,2.6,75,29.2,30.4,32.5
2020-07-11,0,12.7,83.0,6.0,76,29.5,30.9,33.6
2020-07-12,0,9.3,59.0,9.2,75,28.6,30.9,34.2
2020-07-13,0,8.7,38.0,11.5,74,27.3,30.8,33.9
2020-07-14,0,11.1,57.0,12.0,75,28.8,31.3,35.2
2020-07-15,0,14.9,80.0,10.5,74,28.8,30.9,34.5
2020-07-16,0,14.0,73.0,10.1,76,28.7,30.7,33.7
2020-07-17,7,11.6,76.0,10.5,75,27.4,30.5,33.5
2020-07-18,0,13.0,84.0,11.3,75,29.1,31.1,34.2
2020-07-19,1.5,12.7,84.0,10.0,75,28.3,30.8,33.8
2020-07-20,1.5,6.9,82.0,5.8,77,27.4,30.3,33.7
2020-07-21,0,4.3,61.0,9.6,76,26.7,30.1,34.2
2020-07-22,0.5,5.1,50.0,6.7,79,27.5,29.7,33.7
2020-07-23,0.5,7.5,32.0,9.8,73,27.4,31.1,35.2
2020-07-24,0,8.9,47.0,11.1,74,27.3,31.1,35
2020-07-25,0,12.5,83.0,9.5,75,28.6,31.1,35.4
2020-07-26,0,13.7,78.0,10.5,74,29.1,31.2,35.4
2020-07-27,1,13.6,76.0,9.8,75,28.4,30.9,34.1
2020-07-28,3,9.8,55.0,11.1,73,27.3,31.1,35
2020-07-29,0,5.8,69.0,6.1,77,28,30.6,34.4
2020-07-30,2,8.1,76.0,9.5,75,27.3,30.4,34.8
2020-07-31,57,12.2,86.0,0.2,84,25.1,28.2,30.1
2020-08-01,43,11.5,90.0,2.5,87,25.5,28,29.8
2020-08-02,27,7.4,88.0,0.6,89,26.2,27.7,29.6
2020-08-03,45.5,2.7,88.0,0.4,93,25.3,26.4,28.3
2020-08-04,2,3.3,86.0,3.2,87,25.5,27.5,30.5
2020-08-05,104.5,6.6,89.0,2.4,88,24.7,27.6,31.3
2020-08-06,1.5,5.0,83.0,8.6,85,24.8,28.6,32.7
2020-08-07,0,5.5,82.0,8.5,80,27.7,29.7,32.7
2020-08-08,0,6.8,44.0,10.7,76,27.4,30.2,33.1
2020-08-09,0,4.8,46.0,10.0,76,26,29.8,33.4
2020-08-10,0,4.6,73.0,9.3,76,26.7,29.9,33.8
2020-08-11,1.5,8.6,83.0,3.5,78,28.2,30.4,32.5
2020-08-12,22,5.3,88.0,0.9,88,26.2,27.9,30.2
2020-08-13,12.5,4.7,83.0,5.0,86,25.4,28.3,31.6
2020-08-14,1.5,4.0,59.0,8.7,80,26.3,29.1,32.9
2020-08-15,0,4.9,61.0,9.1,76,26.2,29.5,32.7
2020-08-16,3,4.4,79.0,9.5,76,24.9,29.1,32.6
2020-08-17,28,4.0,72.0,4.3,84,25,27.5,30.2
2020-08-18,54,7.2,74.0,1.5,85,25.2,26.8,29.9
2020-08-19,102.5,10.1,93.0,0.1,91,25.3,27.1,28.8
2020-08-20,0,3.6,75.0,9.0,83,26.7,29,31.8
2020-08-21,0,3.3,71.0,11.0,77,26.5,29.2,32.5
2020-08-22,0,3.5,51.0,9.4,77,25.8,29.5,33.8
2020-08-23,0,4.9,60.0,8.8,77,26.3,29.9,34.3
2020-08-24,1,9.8,59.0,11.3,76,27,30.6,35
2020-08-25,0,13.1,63.0,10.9,77,28.2,31.1,34.5
2020-08-26,6.5,11.3,77.0,7.8,81,26.7,30,33.6
2020-08-27,5,6.0,81.0,4.2,83,26.5,28.5,31.6
2020-08-28,0,4.5,79.0,5.0,82,26,29.8,34.1
2020-08-29,0.5,5.2,40.0,8.3,77,26.1,30.1,34.5
2020-08-30,0,4.0,58.0,6.1,80,26.4,29.6,33.5
2020-08-31,0.5,4.3,79.0,5.1,76,27.6,30,34.2
2020-09-01,0,4.8,55.0,8.8,76,26.3,30.4,35.4
2020-09-02,0.5,5.2,52.0,8.1,77,26.9,30.3,35.4
