Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity,Minimum Temperature (°C),Mean Temperature (°C),Maximum Temperature (°C)
2021-01-28,0,7.0,27.0,8.8,70,15,18.8,23.7
2021-01-29,0,9.5,11.0,10.1,60,13.4,15.9,19.7
2021-01-30,0,7.2,27.0,10.0,68,12.6,16.1,20.1
2021-01-31,0,5.6,31.0,10.2,67,12.5,17.9,22.5
2021-02-01,0,4.2,19.0,10.1,76,14.3,19,25.2
2021-02-02,0,6.5,21.0,10.2,76,14.6,19.6,27.5
2021-02-03,0,8.6,25.0,10.2,69,15.7,18.4,22.6
2021-02-04,0,5.8,11.0,10.2,68,13.8,18.8,24.9
2021-02-05,0,6.3,30.0,10.2,72,15.4,19.5,24.8
2021-02-06,0,3.7,3.0,10.2,73,12.7,19,28.2
2021-02-07,0,3.5,13.0,10.4,74,12.7,18.9,26.1
2021-02-08,0,8.8,75.0,2.1,79,15.4,19.5,23.9
2021-02-09,0.5,10.3,88.0,0.3,76,16.6,18.1,19.1
2021-02-10,30.5,8.9,90.0,0.0,89,15.3,16.2,17.4
2021-02-11,0,7.4,78.0,0.4,78,15.7,17.4,19.5
2021-02-12,0,4.7,28.0,9.8,69,12.3,17.3,23
2021-02-13,0,3.2,62.0,7.5,76,12.9,17.4,23
2021-02-14,1,3.3,28.0,10.4,75,13.6,18.6,25.1
2021-02-15,0,5.5,8.0,10.6,70,13.3,19.5,26.8
2021-02-16,0,5.9,20.0,10.6,71,16.1,19.6,24
2021-02-17,0,8.6,23.0,9.4,70,16,19.5,24.1
2021-02-18,0,7.7,18.0,10.4,65,15,17.9,22.2
2021-02-19,0,5.0,7.0,10.4,66,13.5,17.3,22.9
2021-02-20,0,3.5,40.0,10.4,73,11.7,17.4,24.2
2021-02-21,0,3.3,20.0,10.7,74,13,18.5,24.9
2021-02-22,0,4.1,8.0,10.6,78,14.4,19.9,26.3
2021-02-23,0,6.3,9.0,10.6,74,15.2,20.3,26.8
2021-02-24,0,9.2,88.0,2.9,79,18.4,19.9,21.3
2021-02-25,1,4.9,74.0,1.4,85,18.3,20.1,23.4
2021-02-26,11,3.8,84.0,2.6,86,18.5,21.7,26.7
2021-02-27,3,6.8,88.0,0.0,89,16.8,17.9,21.1
2021-02-28,0,6.4,86.0,2.5,83,17.1,19.6,22.6
2021-03-01,0,4.8,78.0,5.1,81,19.6,21.9,25.1
2021-03-02,0.5,9.0,59.0,8.7,75,17.9,20.5,23.2
2021-03-03,0.5,8.1,88.0,0.3,81,17.2,18,18.9
2021-03-04,3.5,6.2,93.0,0.0,87,17.5,18.5,19.9
2021-03-05,0,8.3,88.0,0.1,91,19.3,20.2,21.1
2021-03-06,3,6.7,93.0,0.1,93,19.7,20.7,22
2021-03-07,0,6.1,88.0,0.0,90,18.9,19.7,20.6
2021-03-08,2,7.3,83.0,3.6,83,17.5,19,20.8
2021-03-09,0,6.3,55.0,4.0,79,17.8,19.7,22.5
2021-03-10,0,8.1,87.0,1.2,79,18.1,19.6,20.9
2021-03-11,0,7.8,64.0,7.1,79,18.6,20.8,24
2021-03-12,0,5.0,32.0,10.3,77,18.2,22.6,28.5
2021-03-13,0,9.1,57.0,6.3,76,20.1,21.5,24.2
2021-03-14,0,5.9,76.0,3.9,80,19.5,20.8,22.3
2021-03-15,0,7.4,46.0,9.9,76,19.6,22.2,26.1
2021-03-16,0,5.4,22.0,10.2,78,19.1,23,28.2
2021-03-17,0,4.9,42.0,10.7,80,19.2,23.8,29.3
2021-03-18,2,6.1,81.0,3.6,87,21.6,23.1,25.4
2021-03-19,0,6.3,55.0,9.0,82,21.6,24,28.8
2021-03-20,0,4.2,32.0,10.6,81,20.6,24.5,30.1
2021-03-21,0,9.4,80.0,0.0,73,16.3,20.2,23.5
2021-03-22,0,11.3,87.0,1.9,61,15.4,17.2,19.7
2021-03-23,0,6.2,88.0,0.1,61,17.3,18.4,19.6
2021-03-24,0,6.0,86.0,3.8,68,17.2,20.4,24.6
2021-03-25,0,9.3,45.0,9.0,70,19.1,21.5,24.5
2021-03-26,0,7.9,65.0,6.9,75,19.1,21.2,25
2021-03-27,0,5.3,62.0,7.0,80,21.3,23.9,28.9
2021-03-28,0,8.6,46.0,8.0,80,20.7,24.8,28.9
2021-03-29,0,14.4,81.0,5.8,82,23.8,25.9,29.2
2021-03-30,0,12.5,81.0,3.8,78,24.6,27,30.4
2021-03-31,0,10.8,86.0,2.4,79,25.1,27,30.2
2021-04-01,0,9.5,80.0,3.7,79,24.9,27,30
2021-04-02,0,7.0,55.0,8.0,79,23.6,26.6,31
2021-04-03,0,6.7,47.0,8.1,74,21.8,26.3,31.9
2021-04-04,0.5,3.7,88.0,0.1,86,22.7,24,26.3
2021-04-05,0.5,6.5,88.0,0.4,84,21.3,21.9,22.7
2021-04-06,0,6.6,78.0,6.8,77,21.3,23.6,27.2
2021-04-07,0,8.0,81.0,4.8,76,21.4,22.6,25.4
2021-04-08,0,8.0,87.0,1.4,74,21.3,22.9,25.2
2021-04-09,8.5,6.6,88.0,0.1,82,18.5,19.9,21.3
2021-04-10,0,8.3,52.0,10.3,65,19,21.9,25.1
2021-04-11,0,6.5,55.0,7.4,73,20.3,22.7,27.1
2021-04-12,0,4.7,55.0,5.9,80,20,23.7,28
2021-04-13,0,5.2,27.0,10.9,77,20.9,25.3,30.8
2021-04-14,0,5.8,70.0,2.8,84,21.4,23.4,26.1
2021-04-15,4,7.3,95.0,0.0,91,20.9,21.8,22.6
2021-04-16,0.5,5.8,89.0,0.9,88,21.4,22.6,24.1
2021-04-17,1.5,3.7,88.0,0.0,88,21.8,22.5,23.1
2021-04-18,0,9.5,89.0,3.3,67,21.5,23.3,26.1
2021-04-19,0,10.5,88.0,1.8,67,21,22.3,24.9
2021-04-20,0,9.1,83.0,4.9,73,21.1,23,25.7
2021-04-21,0,7.4,33.0,10.8,74,20.8,24,27.9
2021-04-22,0,8.6,23.0,10.3,74,21.5,25,29.4
2021-04-23,0,5.6,22.0,11.0,75,21.7,27.1,33
2021-04-24,0,8.3,79.0,2.1,82,23.9,24.9,27.2
2021-04-25,1,7.1,84.0,0.8,85,21.9,24.3,28.2
2021-04-26,1,7.5,88.0,0.5,80,21.4,23.1,25.1
2021-04-27,7,5.1,88.0,0.0,90,22.1,23.1,24.1
2021-04-28,1,5.0,88.0,0.5,88,22.5,24.6,27.2
2021-04-29,0,5.7,84.0,4.7,74,21.2,24.1,30.1
2021-04-30,0.5,6.3,73.0,9.1,77,19.6,24.8,30.7
2021-05-01,0,6.5,83.0,5.7,76,22.2,26,30.9
2021-05-02,1.5,4.7,82.0,3.5,82,22.6,25.7,31
2021-05-03,7.5,7.7,95.0,0.1,89,22.1,23.8,25
2021-05-04,21.5,8.1,82.0,6.7,84,22.9,26.7,31.8
2021-05-05,0.5,6.6,74.0,9.0,79,22.3,26.6,31.5
2021-05-06,0,8.8,75.0,6.7,79,22.8,24.7,28.2
2021-05-07,0,6.8,81.0,10.1,77,21.9,26.4,30.8
2021-05-08,0,11.3,52.0,10.1,79,23.4,27.7,31.5
2021-05-09,0,13.4,64.0,8.2,79,26.7,28.6,32.6
2021-05-10,0.5,9.6,66.0,8.5,76,25.3,28.6,32.1
2021-05-11,0,11.3,74.0,5.2,77,27.6,29.6,32.5
2021-05-12,0,10.6,80.0,4.1,78,27.8,30,33.2
2021-05-13,2,8.8,85.0,5.0,79,27.9,29.7,32.6
2021-05-14,0,7.8,70.0,5.9,77,27.8,29.6,32.1
2021-05-15,0,10.0,44.0,10.8,74,27.4,30.1,33.3
2021-05-16,0,10.8,58.0,9.6,74,28,30.5,33.9
2021-05-17,0,11.6,74.0,6.5,75,28.9,30.8,34.2
2021-05-18,0.5,13.0,78.0,5.5,76,27.9,30.4,33.6
2021-05-19,0,10.4,76.0,6.3,75,28.8,30.7,33
2021-05-20,0,14.0,86.0,5.6,75,29.1,30.8,33.9
2021-05-21,1,15.2,80.0,7.8,75,28.7,30.6,33.6
2021-05-22,0,10.4,71.0,7.5,77,28.6,30.7,33.6
2021-05-23,0,8.1,72.0,11.4,74,27.5,30.9,34.9
2021-05-24,1.5,5.7,83.0,5.7,81,28,30.1,34
2021-05-25,26,3.9,85.0,3.8,83,25.5,28,30.5
2021-05-26,11.5,8.0,67.0,8.7,77,26.5,29.4,33
2021-05-27,0,14.3,71.0,10.6,76,28.4,30.6,33.5
2021-05-28,0,13.7,71.0,11.1,77,27.5,30.6,33.5
2021-05-29,0,16.3,84.0,7.8,79,28.9,30.5,32.8
2021-05-30,0,17.4,84.0,4.9,81,29.4,30.6,32.7
2021-05-31,11.5,12.4,88.0,1.6,84,25.8,29.5,32.5
2021-06-01,34.5,5.5,92.0,0.4,91,25,27.1,30.9
2021-06-02,2,5.4,85.0,1.3,85,24.7,27.9,31
2021-06-03,0,8.3,63.0,9.3,77,26.4,30.1,34
2021-06-04,2,7.2,87.0,0.9,84,26.3,28.7,31.1
2021-06-05,0,4.5,80.0,3.1,73,25.5,27.5,31.1
2021-06-06,0.5,4.2,64.0,5.9,74,24.2,27.8,31.4
2021-06-07,0,7.8,68.0,6.2,78,25.9,27.8,30.3
2021-06-08,0,8.0,84.0,10.1,79,26.9,28.8,32.7
2021-06-09,4,4.8,88.0,3.9,87,26.6,27.9,30.5
2021-06-10,8,7.3,82.0,6.8,83,25.8,28.8,31.9
2021-06-11,21.5,9.3,85.0,7.0,82,26.7,29.5,32.3
2021-06-12,39,11.1,88.0,0.8,89,26,28.3,29.9
2021-06-13,8,7.3,88.0,2.1,85,26.1,28.6,31.6
2021-06-14,1,8.0,88.0,3.6,81,27.8,29.6,32.3
2021-06-15,7,10.2,87.0,7.2,79,26.3,29.3,32
2021-06-16,0,15.4,82.0,6.2,76,28.9,30.7,33.2
2021-06-17,0,14.3,63.0,8.6,77,28.4,31.1,33.7
2021-06-18,3.5,16.6,66.0,9.5,77,29.1,30.6,32.9
2021-06-19,1.5,16.5,81.0,8.2,77,28.6,30.6,33
2021-06-20,0,16.8,84.0,8.3,78,29.4,30.8,33.2
2021-06-21,9.5,12.6,86.0,4.6,80,27.2,29.9,31.6
2021-06-22,16,9.0,88.0,0.3,87,24.8,27.7,29.9
2021-06-23,47.5,5.2,89.0,0.2,88,25.1,26.4,29
2021-06-24,33.5,3.6,90.0,0.2,91,24.7,25.8,27.3
2021-06-25,0.5,4.8,87.0,0.9,87,25.4,27.4,30.1
2021-06-26,18,5.8,89.0,0.8,90,26.1,28.2,30.5
2021-06-27,6,12.7,88.0,1.4,84,27.6,29.4,30.7
2021-06-28,81.5,8.9,92.0,0.1,89,24.7,28.1,30
2021-06-29,6.5,14.0,86.0,0.8,82,27.8,29.9,31.8
2021-06-30,0,15.1,88.0,3.5,79,29.2,30.3,32.7
2021-07-01,0,14.7,88.0,7.5,78,29.2,30.5,32.4
2021-07-02,0,13.8,87.0,8.0,77,29.5,30.7,32.8
2021-07-03,0,8.7,85.0,5.4,79,28.9,30.7,33.7
2021-07-04,0,6.1,81.0,7.5,79,27.5,30.4,33.8
2021-07-05,0,6.3,68.0,6.5,79,28.1,30.2,33.2
2021-07-06,1,6.0,74.0,6.1,80,26.6,29.6,33.3
2021-07-07,16,9.3,73.0,5.8,81,27.2,29.7,32
2021-07-08,0.5,8.3,49.0,7.0,79,27.9,29.8,32.7
2021-07-09,0,4.3,28.0,9.7,76,26.4,29.9,33.9
2021-07-10,0,6.2,60.0,11.7,76,26.1,29.8,33.2
2021-07-11,0,6.2,84.0,9.8,77,27.9,30.6,33.6
2021-07-12,1.5,6.2,73.0,10.2,75,27.5,30.5,33.8
2021-07-13,0,7.2,55.0,11.7,72,27.6,30.5,34.7
2021-07-14,0,5.3,47.0,8.0,75,27.1,30.3,33.6
2021-07-15,0,6.6,41.0,12.0,71,27.5,31,34.6
2021-07-16,1,4.0,81.0,0.5,78,27.1,29,31.6
2021-07-17,0.5,4.8,88.0,5.6,80,26.7,28.1,30.1
2021-07-18,32,7.8,88.0,0.4,90,24.5,27.9,30.5
2021-07-19,79,10.0,93.0,0.3,93,25.8,27.2,29.8
2021-07-20,166,6.1,95.0,0.0,94,24.2,26.3,27.6
2021-07-21,54,5.9,88.0,0.2,94,26,27.3,28.5
2021-07-22,0,6.2,66.0,11.7,80,26,29.9,34.1
2021-07-23,0,6.8,40.0,10.7,77,26.3,30.7,36.3
2021-07-24,40,6.2,70.0,6.3,82,27.4,29.7,34.9
2021-07-25,16.5,8.3,55.0,9.6,81,26,29.7,33.9
2021-07-26,1,8.6,53.0,9.9,78,28.8,30.9,34.1
2021-07-27,3,6.7,67.0,8.5,75,26.4,31.2,36.5
2021-07-28,0,8.2,76.0,6.4,79,27.9,30.7,34.4
2021-07-29,0.5,4.9,84.0,1.8,82,27.6,29.2,31.7
2021-07-30,23,7.3,85.0,0.6,83,26.5,28.7,30.9
2021-07-31,17.5,9.5,88.0,4.1,84,27.4,29.8,32.8
2021-08-01,8.5,9.8,83.0,5.3,83,27.3,29.8,33.5
2021-08-02,7,5.8,84.0,5.8,80,27.7,30,34.8
2021-08-03,12.5,7.0,82.0,0.9,88,27,28.5,29.8
2021-08-04,36.5,6.3,84.0,1.5,85,26.3,28.8,33.4
2021-08-05,21.5,5.9,88.0,0.1,90,26.5,28.1,30.2
2021-08-06,54,8.1,89.0,0.3,89,26.5,29,31
2021-08-07,3.5,7.5,86.0,3.2,85,27.5,29.2,33.6
2021-08-08,0.5,9.3,86.0,1.6,85,27.7,29.7,32.1
2021-08-09,17.5,8.9,88.0,1.7,85,27.3,27.4,29.8
2021-08-10,31,3.5,88.0,0.8,87,27.1,28.4,29.5
2021-08-11,11,5.9,87.0,5.6,84,27.4,29.6,33.2
2021-08-12,41.5,5.7,78.0,6.5,82,26,29,32.6
2021-08-13,7,8.1,80.0,6.4,83,26.3,28.5,31.4
2021-08-14,26.5,8.1,87.0,0.9,85,26,27.8,29.2
2021-08-15,18,4.5,83.0,1.2,87,25.8,27.3,30.7
2021-08-16,12,4.9,56.0,6.0,83,24.9,28,31.6
2021-08-17,0,7.5,42.0,11.1,78,26,29.4,33.4
2021-08-18,0,6.8,80.0,7.0,77,26.5,29,33.8
2021-08-19,0,3.9,72.0,5.6,84,26,28.4,31.7
2021-08-20,0,7.4,47.0,11.1,77,26,29.3,33
2021-08-21,0,10.9,68.0,11.2,76,26.5,30.1,33.7
2021-08-22,0,13.3,63.0,10.8,74,28.3,30.3,34
2021-08-23,0,11.6,61.0,9.9,75,28.3,30.3,33.2
2021-08-24,10.5,7.3,78.0,7.2,79,26.9,29.5,32.6
2021-08-25,0.5,4.9,84.0,7.7,79,26.9,29.2,32.8
2021-08-26,0,5.0,71.0,8.5,80,27.2,29.7,32.8
2021-08-27,27,5.0,82.0,0.5,89,22.9,25.4,28.8
2021-08-28,9,4.1,77.0,7.3,81,22.9,26.3,29.6
2021-08-29,19.5,5.1,86.0,4.0,83,25.7,28,31.6
2021-08-30,0,5.3,75.0,8.9,81,26.6,28.7,32.4
2021-08-31,10,3.3,87.0,1.4,88,25.5,27.3,29.5
2021-09-01,10,5.3,84.0,6.2,85,26.4,28.3,30.9
2021-09-02,0,5.2,74.0,10.1,80,26.9,29,31.9
2021-09-03,0,3.6,66.0,6.2,79,26.3,29,32.7
2021-09-04,0,4.4,49.0,5.1,79,26.2,29.1,33.3
2021-09-05,0,4.5,61.0,8.2,79,26.4,29.3,32.6
2021-09-06,0,4.8,73.0,6.8,77,26.2,29.4,34
2021-09-07,0.5,6.6,72.0,9.3,78,28,29.5,32.6
2021-09-08,0,5.0,66.0,11.0,74,26.3,29.7,33.8
2021-09-09,0,5.3,66.0,8.0,73,25.4,29.6,34
2021-09-10,0,5.5,79.0,10.5,71,27.3,30.1,33.4
2021-09-11,0,5.7,77.0,8.5,75,27.2,30.7,35.2
2021-09-12,0,7.5,78.0,9.6,76,29.4,32,36.2
2021-09-13,0,9.1,80.0,6.5,77,29.3,31,34.7
2021-09-14,7.5,4.3,81.0,1.5,83,26.9,28.7,32.4
2021-09-15,0,7.3,71.0,10.0,75,26.4,30.5,34.5
2021-09-16,9,4.3,86.0,3.2,77,25.9,28.9,34.4
2021-09-17,0,4.5,81.0,7.8,77,25.9,29.4,33.4
2021-09-18,0,7.4,69.0,9.1,79,27.7,30,33
2021-09-19,9,6.1,83.0,5.8,86,27.4,29.4,32
2021-09-20,4,3.1,80.0,7.3,84,26.2,28.4,32.4
2021-09-21,2.5,3.4,74.0,5.6,82,26.4,28.5,33.2
2021-09-22,0,4.1,66.0,10.3,77,26.3,29.5,33.4
2021-09-23,38.5,4.8,87.0,1.2,87,25.6,27.5,30.4
2021-09-24,3.5,6.8,76.0,6.8,81,27.1,29.6,32
2021-09-25,0,7.4,64.0,8.5,76,27.4,29.2,31.7
2021-09-26,0,5.1,86.0,5.3,72,26.4,28.6,31.4
2021-09-27,0,4.2,60.0,7.0,75,25.9,28.8,32.8
2021-09-28,0,5.5,66.0,6.0,75,26.3,29.5,33.2
2021-09-29,0,6.3,44.0,8.8,77,26.4,29.6,33.5
2021-09-30,0,6.6,38.0,8.3,78,27.1,30.2,34.5
2021-10-01,10,4.3,65.0,6.9,79,27.3,29.5,32.5
2021-10-02,0,4.5,68.0,8.2,74,25.9,29.3,33.4
2021-10-03,3,4.1,82.0,2.9,79,26.5,28.4,30.2
2021-10-04,0,7.1,51.0,8.5,71,27.4,29.3,32.2
2021-10-05,0,8.8,45.0,10.5,69,27.6,29.6,32.1
2021-10-06,0,9.8,63.0,6.9,69,26.5,29.3,31.8
2021-10-07,9.5,13.9,88.0,0.4,75,25,28.9,31.3
2021-10-08,347,12.2,96.0,0.0,94,24.9,25.7,27.5
2021-10-09,117.5,15.5,97.0,0.2,91,25.7,27,28.9
2021-10-10,25,7.2,89.0,0.0,86,25.3,27.2,28.7
2021-10-11,0,9.8,66.0,10.7,68,25,28.4,32.5
2021-10-12,0.5,16.7,84.0,0.6,65,23.3,25,26.7
2021-10-13,89,16.3,90.0,0.2,89,22.3,25.7,28.6
2021-10-14,11.5,7.0,88.0,5.2,86,26.5,28.1,31.2
2021-10-15,5.5,6.3,92.0,0.0,85,25.2,25.9,26.8
2021-10-16,0,10.0,57.0,8.6,73,23.7,26.3,29.4
2021-10-17,0,14.0,82.0,8.2,68,21.3,23.4,25.9
2021-10-18,0,6.4,59.0,4.6,70,19.7,22.6,27.1
2021-10-19,0,4.5,39.0,9.7,75,20.9,24.5,28.2
2021-10-20,0,6.4,49.0,10.3,78,24.2,26.6,29.8
2021-10-21,0,6.2,76.0,1.8,80,18.6,23.2,28.3
2021-10-22,1.5,8.6,88.0,0.0,77,16.6,17.9,19.2
2021-10-23,0,7.8,95.0,0.8,75,16.9,19.2,21.3
2021-10-24,0,8.6,61.0,7.8,69,18.3,21,25.2
2021-10-25,0,7.1,49.0,7.4,66,18.6,22.4,26.9
2021-10-26,0,6.2,68.0,8.6,69,21.2,24.6,28.3
2021-10-27,0,5.8,86.0,1.3,76,23.4,25.2,28
2021-10-28,0,5.9,87.0,4.8,77,23.9,25.1,27.1
2021-10-29,0,7.2,84.0,8.4,76,23.6,25.2,28.1
2021-10-30,0,7.2,88.0,1.5,81,22.8,23.8,25.1
2021-10-31,0,5.8,75.0,4.1,75,22.3,23.7,26.7
2021-11-01,0.5,6.9,63.0,9.3,76,22.6,24.7,27.7
2021-11-02,0,6.9,74.0,6.9,76,23.6,24.6,27.1
2021-11-03,0,6.4,65.0,8.6,75,23.2,24.8,27.7
2021-11-04,0,6.6,61.0,9.0,78,23.5,25.5,28.4
2021-11-05,0,5.4,61.0,4.4,84,23,25.5,29.2
2021-11-06,0,1.9,23.0,10.2,79,21.8,25.8,31.2
2021-11-07,0,5.1,38.0,8.5,83,22.7,25.1,28
2021-11-08,0.5,13.8,35.0,9.4,61,17.1,19.8,24.8
2021-11-09,0,8.7,76.0,7.8,50,15.9,18.7,22.2
2021-11-10,0,6.7,41.0,8.9,41,15.9,19.5,24
2021-11-11,0,3.9,64.0,7.9,47,14.9,19.3,24.6
2021-11-12,0,5.8,54.0,9.5,51,17.6,21.7,25.9
2021-11-13,0,6.8,46.0,9.6,49,18.6,21.6,25
2021-11-14,0,5.3,23.0,10.0,59,16.3,20.1,24.4
2021-11-15,0,4.5,59.0,8.1,65,17.3,20.3,24.4
2021-11-16,0,5.0,41.0,9.9,71,18,22.4,26.9
2021-11-17,0,5.5,65.0,4.3,74,20,23,25.8
2021-11-18,0,5.9,45.0,9.7,69,19.3,21.8,26.1
2021-11-19,0,3.7,71.0,3.8,77,18.4,21.9,25.2
2021-11-20,0,8.0,48.0,9.5,77,21.8,23.5,26
2021-11-21,0,5.8,56.0,4.0,82,21,23.3,26.4
2021-11-22,3.5,8.3,80.0,0.3,76,15.3,18.6,22
2021-11-23,0,8.6,89.0,0.0,69,12.9,15,17.2
2021-11-24,0,5.9,55.0,7.8,65,15,17.7,21.9
2021-11-25,0,3.2,34.0,7.8,64,14.2,18.8,24.7
2021-11-26,0,4.6,24.0,9.6,64,15.4,20.3,25.6
2021-11-27,0,6.1,52.0,9.7,63,16,20.4,24.8
2021-11-28,0,4.9,38.0,9.7,69,16,20.4,25.4
2021-11-29,0,4.2,10.0,9.7,67,15.8,20.9,26.7
2021-11-30,0,12.2,21.0,9.4,59,16.1,20.5,24.9
2021-12-01,0,12.6,23.0,9.7,40,14.1,17,20.2
2021-12-02,0,6.8,11.0,9.6,42,11.9,16.2,21
2021-12-03,0,7.9,9.0,9.7,35,10.8,17.1,21.7
2021-12-04,0,7.2,37.0,9.6,46,13.9,17.2,21.6
2021-12-05,0,5.0,31.0,9.5,55,13.1,17.6,22.4
2021-12-06,0,4.3,7.0,9.6,59,11.1,16.4,22.8
2021-12-07,0,6.7,56.0,6.2,65,12.5,18.4,23.6
2021-12-08,0,7.4,19.0,9.6,67,15.7,19.9,23.6
2021-12-09,0,4.4,17.0,9.6,72,15.7,19.6,24.3
2021-12-10,0,6.2,30.0,9.5,73,15.1,19.8,24.6
2021-12-11,0,4.9,26.0,9.6,74,17.9,21.2,25.8
2021-12-12,0,5.2,20.0,9.5,75,16.7,21.1,26
2021-12-13,0,7.0,53.0,6.6,67,15.2,18.3,21.6
2021-12-14,0,5.4,71.0,7.0,72,16.5,20.2,24.5
2021-12-15,0,4.4,87.0,2.7,78,19.3,21.1,22.7
2021-12-16,1.5,4.0,69.0,4.1,81,21.1,22.9,25.9
2021-12-17,0,10.1,70.0,0.9,69,17.5,21,23.6
2021-12-18,0,12.7,88.0,6.1,58,15.8,17.6,20.4
2021-12-19,0,11.0,88.0,1.2,51,15,17.1,19.2
2021-12-20,10,9.6,91.0,0.0,78,14.5,16.1,18.9
2021-12-21,5,9.1,77.0,0.1,88,15.4,16.5,18.5
2021-12-22,0,5.3,89.0,2.0,80,16.2,18.9,21.3
2021-12-23,1,3.8,88.0,2.9,77,18.3,19.8,22.4
2021-12-24,3,2.6,84.0,1.0,84,17.7,19.6,22.9
2021-12-25,0,7.7,66.0,3.7,75,16.8,18.9,21.2
2021-12-26,3.5,10.8,92.0,0.5,78,10.9,14.1,17.4
2021-12-27,2.5,8.4,88.0,1.4,81,8.5,10.7,12.5
2021-12-28,0,5.4,89.0,0.4,74,11.1,14.5,17.6
2021-12-29,0,5.2,65.0,6.9,74,15.2,18.1,23.1
2021-12-30,0,5.9,51.0,8.7,77,15.1,17.7,21.8
2021-12-31,0,6.0,76.0,4.2,78,16.4,17.6,20.5
2022-01-01,0,4.6,68.0,1.6,76,14.2,16.8,19.6
2022-01-02,0,4.0,10.0,9.5,77,12.9,17.4,22.8
2022-01-03,0,3.8,27.0,8.0,79,15.1,17.7,21.8
2022-01-04,0,4.7,49.0,8.7,75,14.1,18.8,23.3
2022-01-05,0,4.8,50.0,8.8,75,17.7,20.4,25.2
2022-01-06,0,6.9,54.0,8.1,80,15.9,19.4,23.2
2022-01-07,0,5.3,51.0,4.4,79,15.7,18.2,21.7
2022-01-08,0,4.9,34.0,9.5,75,13.6,16.8,20.2
2022-01-09,0,3.9,70.0,2.0,79,14.2,17.3,21.1
2022-01-10,0,4.9,78.0,3.8,76,15.1,17.9,21.3
2022-01-11,4,9.8,44.0,9.6,70,13,15.3,18.3
2022-01-12,0,5.6,84.0,1.4,72,13.4,15.3,16.8
2022-01-13,0,7.3,90.0,0.7,64,14.3,16.5,18.6
2022-01-14,0,8.0,84.0,0.1,75,13.3,15.9,17.3
2022-01-15,0,7.0,68.0,8.0,82,16.6,18.1,21.3
2022-01-16,0,5.0,59.0,4.7,82,16.6,18.5,21.8
2022-01-17,0,5.3,82.0,0.0,84,16.3,17.8,18.6
2022-01-18,0.5,5.8,89.0,1.1,82,15.1,16.6,17.8
2022-01-19,0,5.5,49.0,8.7,70,13,16.2,20.8
2022-01-20,0,5.0,54.0,7.6,73,12,16.5,20.9
2022-01-21,0,6.1,69.0,4.1,80,14.6,17.4,20
2022-01-22,1,6.3,94.0,0.0,91,17.2,17.7,18.5
2022-01-23,0,5.4,87.0,1.8,84,17.9,19.8,22.6
2022-01-24,1.5,5.9,86.0,1.2,88,18.9,19.9,22.3
2022-01-25,0,5.5,77.0,2.5,82,16.8,18.3,19.5
2022-01-26,1,6.3,88.0,3.4,83,17.9,19.5,21.8
2022-01-27,0,5.3,61.0,7.0,84,18.7,20.5,24.1
2022-01-28,0,7.6,89.0,0.0,86,18,18.8,19.7
2022-01-29,0,5.3,88.0,0.4,81,16.3,18.4,21.3
2022-01-30,0,9.8,58.0,7.0,64,12.3,15,18.7
2022-01-31,0,9.5,88.0,0.0,70,12.1,13,13.8
2022-02-01,2,6.2,89.0,0.0,84,11.2,12.8,14.6
2022-02-02,1.5,5.7,98.0,0.0,88,13.2,14.5,15.4
2022-02-03,0.5,7.3,93.0,0.1,85,10.6,12.1,13.4
2022-02-04,0,9.2,65.0,4.7,69,10.4,13.4,17.7
2022-02-05,0,8.1,87.0,1.5,69,12.1,14.2,16.8
2022-02-06,0,8.1,87.0,4.5,75,13.9,15.8,18.6
2022-02-07,0,8.8,94.0,0.0,85,15,16.2,17.5
2022-02-08,0,7.1,88.0,1.1,78,14.6,16.3,17.7
2022-02-09,0,5.8,88.0,0.0,77,14.3,15.9,17.4
2022-02-10,0,6.6,90.0,0.0,81,15,16.6,17.9
2022-02-11,0,8.8,45.0,10.4,81,16.3,18.8,22.6
2022-02-12,0,5.1,80.0,7.0,83,17.5,19.4,23.6
2022-02-13,1.5,5.5,91.0,0.0,86,13.7,16.9,18.8
2022-02-14,1,7.0,59.0,8.9,75,13,16.6,22.1
2022-02-15,0,5.6,53.0,6.7,77,15.2,17.4,21.9
2022-02-16,0,7.8,74.0,3.9,77,15.2,16.7,18.6
2022-02-17,5,9.5,88.0,0.0,86,15.2,15.7,17.1
2022-02-18,0,12.0,88.0,0.1,84,15.2,15.9,16.5
2022-02-19,31,9.4,90.0,0.0,92,9,11.8,15.8
2022-02-20,57.5,11.5,97.0,0.0,94,7.8,8.2,9.2
2022-02-21,47,7.7,100.0,0.0,95,7,8.4,9.5
2022-02-22,43,7.7,100.0,0.0,96,8.4,9.8,11.3
2022-02-23,8.5,9.5,78.0,6.1,77,8.7,11.7,16
2022-02-24,0,6.3,60.0,6.7,72,9,12,16.3
2022-02-25,0,4.5,45.0,8.0,70,9.7,14.5,20.6
2022-02-26,0,4.7,23.0,9.6,76,11,16.3,23.2
2022-02-27,0,6.1,30.0,10.6,79,11.8,16.8,22.2
2022-02-28,0,8.2,71.0,9.2,70,15.7,19.2,23.3
2022-03-01,0,5.0,56.0,8.9,77,18.5,21.9,27.9
2022-03-02,0,7.9,47.0,8.0,83,17.1,20.3,26.9
2022-03-03,0,11.3,56.0,6.4,76,17.5,19.4,22.3
