DateTime,Type,Region,"lightning count"
202404241300-202404241359,Cloud-to-ground,"New Territories West",0
202404241300-202404241359,Cloud-to-ground,"New Territories East",0
202404241300-202404241359,Cloud-to-ground,"Hong Kong Island and Kowloon",0
202404241300-202404241359,Cloud-to-ground,Lantau,0
202404241300-202404241359,Cloud-to-ground,"Hong Kong territory",0
202404241300-202404241359,Cloud-to-cloud,"Hong Kong territory",0
